,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,year,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
33,110103,5742,2093,566,3649,395,2010,0.09857192615813305,0.06879136189481017,0.2704252269469661,0.15511098931214032,0.5735818032337626,1.4329113924050634
30,110103,5859,2228,738,3631,281,2011,0.1259600614439324,0.04796040279911248,0.33123877917414724,0.20324979344533187,0.6136050674745249,2.626334519572954
27,110103,5888,2569,918,3319,258,2012,0.1559103260869565,0.043817934782608696,0.3573374854028805,0.2765893341367882,0.7740283217836698,3.558139534883721
24,110103,5849,2634,1123,3215,173,2013,0.1919986322448282,0.029577705590699267,0.4263477600607441,0.34930015552099536,0.8192846034214619,6.491329479768786
21,110103,6218,3236,1679,2982,275,2014,0.2700225152782245,0.04422643936957221,0.5188504326328801,0.5630449362843729,1.085177733065057,6.1054545454545455
18,110103,6548,2911,1641,3637,260,2015,0.25061087354917533,0.03970678069639585,0.563723806252147,0.4511960406928787,0.8003849326367886,6.311538461538461
15,110103,6538,3248,1618,3290,341,2016,0.24747629244417252,0.05215662282043439,0.4981527093596059,0.4917933130699088,0.9872340425531915,4.744868035190616
12,110103,6293,3135,1374,3158,288,2017,0.2183378356904497,0.0457651358652471,0.4382775119617225,0.435085497150095,0.9927169094363522,4.770833333333333
9,110103,6657,3327,1728,3330,344,2018,0.25957638575935105,0.05167492864653748,0.5193868349864743,0.518918918918919,0.9990990990990991,5.023255813953488
6,110103,6803,3303,1638,3500,152,2019,0.24077612817874466,0.022343083933558723,0.49591280653950953,0.468,0.9437142857142857,10.776315789473685
3,110105,2934,1167,267,1767,106,2020,0.09100204498977506,0.03612815269256987,0.22879177377892032,0.15110356536502548,0.6604414261460102,2.518867924528302
0,110105,2539,955,188,1584,20,2021,0.07404489956675857,0.007877116975187082,0.1968586387434555,0.11868686868686869,0.6029040404040404,9.4
34,120104,1945,1058,418,887,226,2010,0.21491002570694087,0.11619537275064268,0.3950850661625709,0.47125140924464487,1.1927846674182638,1.8495575221238938
31,120104,1839,925,277,914,169,2011,0.1506253398586188,0.09189777052746058,0.29945945945945945,0.30306345733041573,1.012035010940919,1.6390532544378698
28,120104,1966,993,297,973,177,2012,0.1510681586978637,0.09003051881993897,0.2990936555891239,0.3052415210688592,1.0205549845837616,1.6779661016949152
25,120104,2142,919,308,1223,157,2013,0.1437908496732026,0.07329598506069095,0.33514689880304677,0.2518397383483238,0.7514309076042518,1.9617834394904459
22,120104,2162,850,374,1312,69,2014,0.17298797409805736,0.031914893617021274,0.44,0.2850609756097561,0.6478658536585366,5.420289855072464
19,120104,2264,918,358,1346,86,2015,0.15812720848056538,0.037985865724381625,0.3899782135076253,0.2659732540861813,0.6820208023774146,4.162790697674419
16,120104,2286,908,276,1378,78,2016,0.12073490813648294,0.03412073490813648,0.3039647577092511,0.20029027576197386,0.6589259796806967,3.5384615384615383
13,120104,2298,1018,238,1280,111,2017,0.10356832027850305,0.048302872062663184,0.2337917485265226,0.1859375,0.7953125,2.144144144144144
10,120104,2205,976,210,1229,94,2018,0.09523809523809523,0.042630385487528344,0.2151639344262295,0.1708706265256306,0.7941415785191213,2.234042553191489
7,120104,2330,1130,230,1200,83,2019,0.09871244635193133,0.035622317596566526,0.20353982300884957,0.19166666666666668,0.9416666666666667,2.7710843373493974
4,120104,2424,1431,280,993,67,2020,0.11551155115511551,0.02764026402640264,0.19566736547868624,0.28197381671701915,1.4410876132930515,4.17910447761194
1,120104,2435,1276,273,1159,83,2021,0.11211498973305954,0.034086242299794664,0.2139498432601881,0.2355478861087144,1.1009490940465918,3.289156626506024
35,120201,3920,1072,346,2848,475,2010,0.08826530612244898,0.1211734693877551,0.32276119402985076,0.12148876404494383,0.37640449438202245,0.728421052631579
32,120201,3635,1188,309,2447,551,2011,0.08500687757909216,0.1515818431911967,0.2601010101010101,0.12627707396812424,0.4854924397221087,0.5607985480943739
29,120201,3832,1121,305,2711,633,2012,0.07959290187891441,0.16518789144050106,0.272078501338091,0.11250461084470675,0.4135005533013648,0.48183254344391785
26,120201,3802,1261,345,2541,589,2013,0.09074171488690164,0.15491846396633352,0.2735923869944489,0.1357733175914994,0.49626131444313265,0.5857385398981324
23,120201,4067,1215,293,2852,651,2014,0.07204327514138185,0.16006884681583478,0.2411522633744856,0.10273492286115007,0.42601683029453014,0.4500768049155146
20,120201,3673,1235,309,2438,558,2015,0.08412741628096923,0.15191941192485706,0.25020242914979757,0.12674323215750616,0.5065627563576702,0.553763440860215
17,120201,3632,1165,288,2467,521,2016,0.07929515418502203,0.14344713656387664,0.24721030042918454,0.11674098094852046,0.472233481961897,0.5527831094049904
14,120201,3770,1219,302,2551,318,2017,0.08010610079575597,0.0843501326259947,0.24774405250205087,0.11838494707957664,0.4778518228145825,0.949685534591195
11,120201,3912,1366,407,2546,327,2018,0.10403885480572597,0.08358895705521473,0.2979502196193265,0.1598586017282011,0.5365278868813825,1.2446483180428134
8,120201,3984,1437,337,2547,217,2019,0.08458835341365462,0.05446787148594377,0.23451635351426584,0.13231252453867295,0.5641931684334511,1.5529953917050692
5,120201,4199,1422,264,2777,122,2020,0.06287211240771612,0.029054536794474874,0.18565400843881857,0.0950666186532229,0.5120633777457688,2.1639344262295084
2,120201,4248,1571,271,2677,48,2021,0.06379472693032015,0.011299435028248588,0.17250159134309356,0.10123272319760926,0.5868509525588346,5.645833333333333
